"Igloo-Rank","Igloo-TotalOccurences","Igloo-Search_Term","Igloo-SSR-content_name","Igloo-SSR-content_id","Igloo-SSR-content_type","Igloo-QSR-content_name","Igloo-QSR-content_id","Igloo-QSR-content_type","Amp-content_name","Amp-content_id","Amp-content_type","SSR PASS/FAIL","QSR PASS/FAIL"
"116","881","the steve harvey morning show","The Steve Harvey Morning Show","27928551","podcast","The Steve Harvey Morning Show","27928551","podcast","The Steve Harvey Morning Show","27928551","podcast","PASS","PASS"
"117","878","santana","Santana","332","artist","Santana","332","artist","Santana","332","ARTIST","PASS","PASS"
"118","877","smartless","SmartLess","68519170","podcast","SmartLess","68519170","podcast","SmartLess","68519170","podcast","PASS","PASS"
"119","875","plan b","Plan B","30017921","artist","Plan B","30017921","artist","The Bible in a Year (with Fr. Mike Schmitz)","75927728","podcast","FAIL","FAIL"
"120","872","97.1","WASH-FM","2501","live","WASH-FM","2501","live","HOT 97","6046","podcast","FAIL","FAIL"
"121","857","hip hop","Hip Hop","0","link","HIPWORK-FL","7785","live","Hip Hop","327","link","FAIL","FAIL"
"122","856","willie nelson","Willie Nelson","631","artist","Willie Nelson","631","artist","Willie Nelson","631","ARTIST","PASS","PASS"
"123","854","under the influence","Chris Brown/Under The Influence","182730179","track","Chris Brown/Under The Influence","81295513","track","Under The Influence","81295513","TRACK","FAIL","PASS"
"124","851","lil baby","Lil Baby","356142","artist","Lil Baby","356142","artist","Lil Baby","356142","ARTIST","PASS","PASS"
"125","849","103.5","KOST-FM","193","live","KOST-FM","193","live","KOST 103.5","193","ARTIST","FAIL","FAIL"
"126","843","smooth jazz","IJAZ-FL","4242","live","IJAZ-FL","4242","live","Smooth Jazz","4242","live","PASS","PASS"
"127","842","murder and magnolias","Murder & Magnolias","104131702","podcast","Murder & Magnolias","104131702","podcast","Murder & Magnolias","104131702","podcast","PASS","PASS"
"128","839","harry potter","John Williams/Harry Potter and The Sorcerer's Stone  Original Motion Picture Soundtrack","1569341","album","Harry Potter and the Sacred Text","27868329","podcast","Harry Potter","499201","podcast","FAIL","FAIL"
"129","839","iheart","iHeartChristmas Stations","0","link","IHAD-FL","4596","live","iHeartChristmas Stations","688","link","FAIL","FAIL"
"130","837","free","Freestyle","0","link","KDFD-AM","381","live","Freestyle","1561","link","FAIL","FAIL"
"131","822","bobby","Bobby Brown","41567","artist","The Bobby Bones Show","25100459","podcast","The Bobby Bones Show","25100459","link","FAIL","FAIL"
"132","819","classic","ICLR-FL","4426","live","ICLR-FL","4426","live","The Classic Rock Channel","4426","link","FAIL","FAIL"
"133","813","bey","Beyoncé","89266","artist","Beyoncé","89266","artist","Beyoncé","89266","ARTIST","PASS","PASS"
"134","808","vikings","Minnesota Vikings","28149788","podcast","KFXN-FM","1209","live","NFL Minnesota Vikings","1209","live","FAIL","PASS"
"135","804","93.9","WLIT-FM","853","live","WLIT-FM","853","live","93.9 Lite FM","853","live","FAIL","FAIL"
"136","799","conspiracy","Conspiracy Theories","88372763","podcast","Those Conspiracy Guys","28149226","podcast","Jordan Klepper Fingers the Conspiracy","30873042","PODCAST","FAIL","FAIL"
"137","794","cody johnson","Cody Johnson","368890","artist","Cody Johnson","368890","artist","Cody Johnson","368890","ARTIST","PASS","PASS"
"138","788","96.1","WWPW-FM","741","live","KMXG-FM","3658","live","Power 96.1","741","ARTIST","FAIL","FAIL"
"139","788","cornbread","Cornbread Mafia","103395162","podcast","Cornbread Mafia","103395162","podcast","Cornbread Mafia","103395162","podcast","PASS","PASS"
"140","786","2020","20/20","22669940","podcast","Top Hits 2020 Playlist","1744","link","Top Hits 2020 Playlist","1744","link","FAIL","PASS"
"141","782","johnny cash","Johnny Cash","1616","artist","Johnny Cash","1616","artist","Johnny Cash","1616","ARTIST","PASS","PASS"
"142","781","soft rock","ACMN-FL","4414","live","ACMN-FL","4414","live","Soft Rock","324","link","FAIL","FAIL"
"143","781","sleep music","Sleep","0","link","Sleep Music","179547","artist","Sleep","2282","link","FAIL","FAIL"
"144","780","true","True Crime","69194294","podcast","Southern Fried True Crime","30926047","podcast","True Crime Podcasts","87","link","FAIL","FAIL"
"145","772","war","War","29639","artist","Bannon’s War Room","52276954","podcast","Bannon’s War Room","52276954","link","FAIL","FAIL"
"146","770","lil wayne","Lil Wayne","39555","artist","Lil Wayne","39555","artist","Lil Wayne","39555","ARTIST","PASS","PASS"
"147","761","usher","Usher","56557","artist","Usher","56557","artist","Usher","56557","ARTIST","PASS","PASS"
"148","760","ben","The Ben Shapiro Show","28178102","podcast","The Ben Shapiro Show","28178102","podcast","NFL Cincinnati Bengals","1697","link","FAIL","FAIL"
"149","757","99.9","KESZ-FM","33","live","KESZ-FM","33","live","99.9 KEZ","33","link","FAIL","FAIL"
"150","755","the dan bongino show","The Dan Bongino Show","28888454","podcast","The Dan Bongino Show","28888454","podcast","The Dan Bongino Show","28888454","podcast","PASS","PASS"
"151","754","classic country","CTYC-FL","4435","live","CTYC-FL","4435","live","iHeartCountry Classics","4435","live","PASS","PASS"
"152","751","simply savage","Simply Savage","104643770","podcast","Simply Savage","104643770","podcast","Simply Savage","104643770","PODCAST","PASS","PASS"
"153","748","james brown","James Brown","2516","artist","James Brown","2516","artist","James Brown","2516","ARTIST","PASS","PASS"
"154","747","100.3","WNIC-FM","1153","live","WNIC-FM","1153","live","100.3 WNIC","1153","ARTIST","FAIL","FAIL"
"155","743","cream","Cream","2357","artist","Cream","2357","artist","Cream","2357","ARTIST","PASS","PASS"
"156","742","john legend","John Legend","36643","artist","John Legend","36643","artist","John Legend","36643","ARTIST","PASS","PASS"
"157","741","russ","Russ","30404982","artist","Russ","30404982","artist","Russ","30404982","ARTIST","PASS","PASS"
"158","724","lil","Lil Baby","356142","artist","Lil Wayne","39555","artist","Lil Baby","356142","ARTIST","PASS","FAIL"
"159","723","delilah","DEL-PR","4846","live","DEL-PR","4846","live","Delilah","4846","live","PASS","PASS"
"160","722","silk","Silk","3830","artist","Silk","3830","artist","Silk","3830","ARTIST","PASS","PASS"
"161","720","maxwell","Maxwell","88556","artist","Maxwell","88556","artist","Maxwell","88556","ARTIST","PASS","PASS"
"162","718","luke combs","Luke Combs","30406307","artist","Luke Combs","30406307","artist","Luke Combs","30406307","ARTIST","PASS","PASS"
"163","717","rain","Rain Sounds","0","link","Rain Sounds","2348","link","Rain Sounds","2348","link","FAIL","PASS"
"164","716","pop","Top 40 & Pop","0","link","Pop Smoke","32757482","artist","Top 40 & Pop","329","link","FAIL","FAIL"
"165","714","yes","Yes","41948","artist","Yes","41948","artist","Yes","41948","ARTIST","PASS","PASS"
"166","713","the glenn beck program","The Glenn Beck Program","23014384","podcast","The Glenn Beck Program","23014384","podcast","The Glenn Beck Program","23014384","PODCAST","PASS","PASS"
"167","713","brandy","Brandy","58641","artist","Brandy","58641","artist","Brandy","58641","ARTIST","PASS","PASS"
"168","712","kfi","KFI-AM","177","live","KFI-AM","177","live","KFI AM 640","177","live","PASS","PASS"
"169","711","ed sheeran","Ed Sheeran","396790","artist","Ed Sheeran","396790","artist","Ed Sheeran","396790","ARTIST","PASS","PASS"
"170","710","khalid","Khalid","836574","artist","Khalid","836574","artist","Khalid","836574","ARTIST","PASS","PASS"
"171","707","minnesota vikings","Minnesota Vikings","28149788","podcast","Minnesota Vikings","28149788","podcast","NFL Minnesota Vikings","1209","live","FAIL","FAIL"
"172","703","paul","Paul Allen","26980875","podcast","Paul Allen","26980875","podcast","Paul Allen","26980875","PODCAST","PASS","PASS"
"173","701","k-love","ILOV-FL","5162","live","ILOV-FL","5162","live","K-LOVE","5162","PODCAST","FAIL","FAIL"
"174","701","espn radio","ESPN-FL","7903","live","WEPN-FM","7905","live","ESPN Radio","7903","live","PASS","FAIL"
"175","699","internal affairs","Internal Affairs","101962131","podcast","Internal Affairs","101962131","podcast","Internal Affairs","101962131","podcast","PASS","PASS"
"176","696","chicago","Chicago","5663","artist","Chicago","5663","artist","Chicago Radio Stations","534","link","FAIL","FAIL"
"177","686","dance","Dance Party Hits","0","link","Dance Party Hits","1752","link","Dance Party Hits","1752","link","FAIL","PASS"
"178","684","93.3","KJR-FM","2577","live","KJR-FM","2577","live","Sports Radio 93.3 KJR","2577","link","FAIL","FAIL"
"179","682","irish","SHAMROCK-FL","7313","live","FLKIRISH-FL","8136","live","Shamrock Radio","7313","live","PASS","FAIL"
"180","681","103","KOST-FM","193","live","KOST-FM","193","live","KOST 103.5","193","live","FAIL","FAIL"
"181","677","the jesse kelly show","The Jesse Kelly Show","29962174","podcast","The Jesse Kelly Show","29962174","podcast","The Jesse Kelly Show","29962174","podcast","PASS","PASS"
"182","676","joe ro","The Joe Rogan Experience","0","link","Joe Rogan Experience Review podcast","62392353","podcast","The Joe Rogan Experience","1159","link","FAIL","FAIL"
"183","673","94.5","KTBZ-FM","2281","live","KTBZ-FM","2281","live","94.5 The Buzz","2281","link","FAIL","FAIL"
"184","670","chris young","Chris Young","116053","artist","Chris Young","116053","artist","Chris Young","116053","ARTIST","PASS","PASS"
"185","668","cody","Cody Johnson","368890","artist","Cody Johnson","368890","artist","Cody Johnson","368890","ARTIST","PASS","PASS"
"186","668","ajr","AJR","594322","artist","AJR","594322","artist","AJR","594322","ARTIST","PASS","PASS"
"187","662","fox sports","FSR-PR","4732","live","FSR-PR","4732","live","Fox Sports Radio","386","live","FAIL","FAIL"
"188","661","disturbed","Disturbed","58304","artist","Disturbed","58304","artist","Disturbed","58304","ARTIST","PASS","PASS"
"189","658","2000","MY2K-FL","6850","live","2000s Hip Hop Hits","312064750::DAE3FZF7oCr7sEtBoHqPdK","curated_playlist","iHeart2000s Radio","6850","live","PASS","FAIL"
"190","655","99.5","KPLX-FM","5525","live","WMAG-FM","1621","live","Mix 99.5 Triad","1621","live","FAIL","FAIL"
"191","651","enigma","Enigma","28672","artist","Enigma","28672","artist","Enigma","28672","ARTIST","PASS","PASS"
"192","651","klove","ILOV-FL","5162","live","ILOV-FL","5162","live","K-LOVE","5162","ARTIST","FAIL","FAIL"
"193","650","michael","Michael Jackson","6739","artist","Michael Jackson","6739","artist","Michael Jackson","6739","ARTIST","PASS","PASS"
"194","646","bannon’s war room","Bannon’s War Room","52276954","podcast","Bannon's War Room","52276954","podcast","Bannon's War Room","52276954","podcast","PASS","PASS"
"195","637","dan","The Dan Bongino Show","28888454","podcast","The Dan Bongino Show","28888454","podcast","The Dan Bongino Show","28888454","PODCAST","PASS","PASS"
"196","636","107","WBLS-FM","6493","live","WBLS-FM","6493","live","107.5 WBLS","6493","PODCAST","FAIL","FAIL"
"197","634","hip","Various Artists/90s Hip Hop","48625454","album","HIPWORK-FL","7785","live","2000s Hip Hop Hits","DAE3FZF7oCr7sEtBoHqPdK","PODCAST","FAIL","FAIL"
"198","625","102.1","KDGE-FM","2815","live","KDGE-FM","2815","live","Star 102.1","2815","PODCAST","FAIL","FAIL"
"199","624","sam","Sam Smith","423762","artist","Sam Smith","423762","artist","Sam Smith","423762","ARTIST","PASS","PASS"
"200","619","chris stapleton","Chris Stapleton","901714","artist","Chris Stapleton","901714","artist","Chris Stapleton","901714","ARTIST","PASS","PASS"
"201","617","white noise","White Noise","0","link","White Noise","1705","link","White Noise","1705","link","FAIL","PASS"
"202","617","bts","BTS","786717","artist","BTS","786717","artist","BTS","786717","artist","PASS","PASS"
"203","615","first take","First Take","29430057","podcast","First Take","29430057","podcast","First Take","29430057","podcast","PASS","PASS"
"204","609","adele","Adele","126564","artist","Adele","126564","artist","Adele","126564","artist","PASS","PASS"
"205","608","freestyle","Freestyle","0","link","80's & 90's Freestyle","81614988","podcast","Freestyle","1561","link","FAIL","FAIL"
"206","606","blues","BLUES-FL","6936","live","BLUES-FL","6936","live","Blues Classics","181","link","FAIL","FAIL"
"207","606","97.3","WRNW-FM","2685","live","WRNW-FM","2685","live","97.3 The Game","2685","link","FAIL","FAIL"
"208","605","jewel","Jewel","41647","artist","Jewel","41647","artist","Jewel","41647","ARTIST","PASS","PASS"
"209","605","92.3","KRRL-FM","181","live","KRRL-FM","181","live","Real 92.3","181","ARTIST","FAIL","FAIL"
